Product_ID,Product,Product_Group,Category,Supplier,Unit_Cost,ProductID_Num,URL
PK 108,Product 108,Ground Coffee,Food,King Coffee,35.18,108,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PS 111,Product 111,Horticulture,Food,Saint Rose Food,3.56,111,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 114,Product 114,Spices,Food,Saint Rose Food,3.22,114,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 118,Product 118,Spices,Food,Saint Rose Food,1.78,118,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 120,Product 120,Spices,Food,Saint Rose Food,6.96,120,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PK 142,Product 142,Ground Coffee,Food,King Coffee,19.46,142,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 143,Product 143,Ground Coffee,Food,King Coffee,19.53,143,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 144,Product 144,Ground Coffee,Food,King Coffee,19.65,144,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 145,Product 145,Ground Coffee,Food,King Coffee,19.99,145,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PS 146,Product 146,Olive Oils,Food,Saint Rose Food,1.56,146,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PK 157,Product 157,Powdered Milk,Food,King Coffee,2.6,157,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 158,Product 158,Powdered Milk,Food,King Coffee,3.03,158,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 159,Product 159,Coffee Pods,Food,King Coffee,7.73,159,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PK 168,Product 168,Coffee Pods,Food,King Coffee,4.05,168,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PS 175,Product 175,Olive Oils,Food,Saint Rose Food,1.56,175,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 176,Product 176,Olive Oils,Food,Saint Rose Food,1.56,176,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 180,Product 180,Olive Oils,Food,Saint Rose Food,7.93,180,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 183,Product 183,Horticulture,Food,Saint Rose Food,3.37,183,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 186,Product 186,Horticulture,Food,Saint Rose Food,3.85,186,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 187,Product 187,Horticulture,Food,Saint Rose Food,4.4,187,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PS 191,Product 191,Horticulture,Food,Saint Rose Food,5.02,191,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
PT 202,Product 202,Wheat Flours,Food,Two Brothers Mill,1.01,202,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 203,Product 203,Wheat Flours,Food,Two Brothers Mill,1.01,203,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 210,Product 210,Wheat Flours,Food,Two Brothers Mill,0.63,210,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 231,Product 231,Wheat Flours,Food,Two Brothers Mill,6.49,231,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 235,Product 235,Wheat Flours,Food,Two Brothers Mill,0.61,235,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 238,Product 238,Wheat Flours,Food,Two Brothers Mill,0.64,238,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PK 252,Product 252,Powdered Milk,Food,King Coffee,3.03,252,https://coffeekingdirect.com/cdn/shop/files/Diseno_sin_titulo_45.png
PT 256,Product 256,Yeast,Food,Two Brothers Mill,1.69,256,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 257,Product 257,Yeast,Food,Two Brothers Mill,2.02,257,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 258,Product 258,Yeast,Food,Two Brothers Mill,1.69,258,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 260,Product 260,Yeast,Food,Two Brothers Mill,1.04,260,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 264,Product 264,Yeast,Food,Two Brothers Mill,0.43,264,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 265,Product 265,Yeast,Food,Two Brothers Mill,0.43,265,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 271,Product 271,Yeast,Food,Two Brothers Mill,0.81,271,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 272,Product 272,Yeast,Food,Two Brothers Mill,0.81,272,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 276,Product 276,Yeast,Food,Two Brothers Mill,1.41,276,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 278,Product 278,Yeast,Food,Two Brothers Mill,1.65,278,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PT 279,Product 279,Yeast,Food,Two Brothers Mill,1.85,279,https://cdn.shopify.com/s/files/1/2598/1404/files/2021_07_16_TBOF_Website_LOGO_B-17_140x.png?v=1626449921
PS 280,Product 280,Olive Oils,Food,Saint Rose Food,2.02,280,"https://menufyproduction.imgix.net/637841585114332019+746655.png?auto=compress,format&fit=max&w=1024&h=1024"
